Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
赃,贝,2.3654,"['貝', '贝']",[117687]
贰,贝,1.037,"['貝', '贝']",[119188]
贻,贝,0.4346,"['貝', '贝']",[119357]
赡,贝,0.8247,"['貝', '贝']",[119514]
贲,贝,0.2074,"['貝', '贝']",[120022]
赅,贝,0.3012,"['貝', '贝']",[120392]
赊,贝,0.3556,"['貝', '贝']",[120688]
赝,贝,0.6123,"['貝', '贝']",[121742]
败,贝,169.9062,"['貝', '贝']",[21125]
资,贝,240.721,"['貝', '贝']",[51125]
责,贝,121.6691,"['貝', '贝']",[69516]
购,贝,151.1605,"['貝', '贝']",[77172]
账,贝,45.4667,"['貝', '贝']",[80101]
费,贝,370.4889,"['貝', '贝']",[80268]
货,贝,208.484,"['貝', '贝']",[81668]
质,贝,215.3481,"['貝', '贝']",[99178]
赛,贝,256.316,"['貝', '贝']",[99273]
负,贝,129.8815,"['貝', '贝']",[99393]
财,贝,316.6173,"['貝', '贝']",[99421]
贫,贝,25.8272,"['貝', '贝']",[99514]
贵,贝,161.0963,"['貝', '贝']",[99582]
贸,贝,13.5506,"['貝', '贝']",[99637]
赞,贝,100.3753,"['貝', '贝']",[99709]
贴,贝,111.7432,"['貝', '贝']",[99934]
赢,贝,256.3556,"['貝', '贝']",[99959]
鼻,鼻,73.8667,['鼻'],[102228]
鼾,鼻,3.8864,['鼻'],[121911]
匙,匕,43.6889,['匕'],[103081]
匕,匕,1.3037,['匕'],[119298]
化,匕,422.484,['匕'],[32108]
北,匕,345.1309,['匕'],[48309]
毗,比,0.5284,['比'],[103834]
毙,比,8.9185,['比'],[117359]
比,比,1495.7284,['比'],[56006]
毕,比,90.0049,['比'],[99764]
釉,釆,0.6469,['釆'],[111671]
释,釆,111.8321,['釆'],[68862]
采,釆,67.7333,['釆'],[99433]
髦,髟,5.8716,['髟'],[103684]
鬓,髟,1.4173,['髟'],[119525]
髻,髟,0.6074,['髟'],[121708]
鬃,髟,0.316,['髟'],[121957]
鬣,髟,0.158,['髟'],[122119]
疾,疒,26.7012,['疒'],[100217]
痛,疒,446.3704,['疒'],[100406]
癌,疒,28.4938,['疒'],[100575]
