Character,Radical,CharFreq,Radicals
陌,阝,53.042,"['邑', '阜', '阝']"
修,亻,266.1778,"['人', '亻']"
诚,讠,112.8642,"['讠', '言']"
休,亻,215.9012,"['人', '亻']"
军,冖,286.084,['冖']
质,贝,215.3481,"['貝', '贝']"
和,口,3336.2765,"['囗', '口']"
答,⺮,197.2049,"['⺮', '竹']"
模,木,263.2691,['木']
嫂,女,17.4617,['女']
紫,糸,52.2716,"['糸', '纟']"
浑,氵,22.5778,"['氺', '水', '氵']"
敷,攵,18.3012,"['攴', '攵']"
短,矢,294.3951,['矢']
萦,艹,2.6074,['艹']
抵,扌,46.1136,"['扌', '手']"
雷,雨,137.3926,['雨']
逻,辶,13.1111,['辶']
商,口,211.2049,"['囗', '口']"
文,文,665.6148,['文']
法,氵,826.637,"['氺', '水', '氵']"
甭,用,3.1901,['用']
菜,艹,287.1012,['艹']
翻,羽,249.6938,['羽']
父,父,270.4889,['父']
削,刂,12.4099,"['刂', '刀']"
持,扌,591.516,"['扌', '手']"
紧,糸,340.0395,"['糸', '纟']"
奠,大,2.958,['大']
腱,月,1.1901,['月']
灌,氵,30.9284,"['氺', '水', '氵']"
先,儿,722.8444,['儿']
露,雨,115.2988,['雨']
虚,虍,91.9259,['虍']
依,亻,200.6617,"['人', '亻']"
信,亻,1449.4864,"['人', '亻']"
耸,耳,3.1753,['耳']
男,田,842.9086,['田']
柔,木,77.9358,['木']
要,覀,5882.4642,['覀']
喷,口,39.3679,"['囗', '口']"
逃,辶,104.4593,['辶']
香,香,324.3111,['香']
蔡,艹,22.1284,['艹']
康,广,269.4272,['广']
承,手,155.6099,"['扌', '手']"
神,礻,1114.3556,"['礻', '示']"
南,十,336.8247,['十']
呕,口,16.7407,"['囗', '口']"
擒,扌,4.242,"['扌', '手']"
路,足,834.2963,['足']
增,土,379.0716,['土']
家,宀,4086.3062,['宀']
托,扌,149.3383,"['扌', '手']"
射,寸,205.8765,['寸']
坡,土,35.0123,['土']
哀,口,42.4741,"['囗', '口']"
创,刂,174.2914,"['刂', '刀']"
倾,亻,55.8222,"['人', '亻']"
绝,纟,316.5778,"['糸', '纟']"
硬,石,73.4025,['石']
聆,耳,12.4741,['耳']
万,一,576.3111,['一']
楼,木,207.5951,['木']
膝,月,18.4494,['月']
理,王,784.5877,"['王', '玉']"
哄,口,20.2914,"['囗', '口']"
浓,氵,57.0716,"['氺', '水', '氵']"
泥,氵,44.9679,"['氺', '水', '氵']"
诧,讠,2.5383,"['讠', '言']"
机,木,1506.3259,['木']
配,酉,200.5975,['酉']
莹,艹,10.9185,['艹']
火,火,528.6667,"['火', '灬']"
躲,身,49.2395,['身']
带,巾,754.6864,['巾']
牙,牙,140.8642,['牙']
农,冖,92.8691,['冖']
检,木,107.8123,['木']
弛,弓,2.4988,['弓']
球,王,416.8346,"['王', '玉']"
有,月,9599.9556,['月']
值,亻,296.079,"['人', '亻']"
水,水,850.958,"['氺', '水', '氵']"
支,支,393.4667,['支']
哗,口,11.0617,"['囗', '口']"
感,心,1651.6148,"['心', '忄']"
孕,子,46.9926,['子']
泛,氵,17.0864,"['氺', '水', '氵']"
抒,扌,3.4864,"['扌', '手']"
等,⺮,1261.6889,"['⺮', '竹']"
凄,冫,14.6765,['冫']
归,彐,144.163,"['彐', '彑']"
鳞,鱼,4.9926,"['鱼', '魚']"
破,石,208.8049,['石']
薪,艹,25.5753,['艹']
幻,幺,110.8593,['幺']
轮,车,93.6,"['车', '車']"
姊,女,5.9802,['女']
驽,马,0.079,"['馬', '马']"
饱,饣,70.9679,"['飠', '饣', '食']"
屯,屮,4.8395,['屮']
搅,扌,25.4123,"['扌', '手']"
顶,页,158.5679,"['頁', '页']"
党,儿,53.116,['儿']
珂,王,2.4247,"['王', '玉']"
经,纟,1400.4494,"['糸', '纟']"
洋,氵,102.4642,"['氺', '水', '氵']"
畅,田,54.6123,['田']
元,儿,460.5827,['儿']
报,扌,386.321,"['扌', '手']"
宣,宀,62.3111,['宀']
贬,贝,5.2938,"['貝', '贝']"
波,氵,179.3284,"['氺', '水', '氵']"
愁,心,39.7432,"['心', '忄']"
帽,巾,72.2914,['巾']
胚,月,1.5012,['月']
煤,火,13.6543,"['火', '灬']"
翅,羽,27.279,['羽']
峡,山,14.5975,['山']
店,广,638.2123,['广']
戒,戈,106.2815,['戈']
齐,齐,72.1531,"['齐', '齊']"
色,色,801.7284,['色']
摧,扌,13.8222,"['扌', '手']"
遇,辶,358.8049,['辶']
裴,衣,1.4519,"['衣', '衤']"
泰,氺,67.3778,"['氺', '水', '氵']"
来,木,6988.9086,['木']
超,走,1189.7877,['走']
舀,臼,1.2,['臼']
按,扌,176.0741,"['扌', '手']"
致,至,155.5358,['至']
歌,欠,451.6691,['欠']
化,匕,422.484,['匕']
啸,口,19.2889,"['囗', '口']"
这,辶,7190.5037,['辶']
欣,欠,71.4025,['欠']
缜,纟,0.6716,"['糸', '纟']"
母,母,247.679,"['毋', '母']"
鉴,金,39.3728,"['钅', '金']"
退,辶,128.4,['辶']
炒,火,84.0148,"['火', '灬']"
溺,氵,8.2123,"['氺', '水', '氵']"
屠,尸,21.3926,['尸']
微,彳,2807.684,['彳']
镖,钅,6.7259,"['钅', '金']"
亲,亠,863.8469,['亠']
附,阝,60.6716,"['邑', '阜', '阝']"
