Character,Radical,CharFreq,Radicals
凌,冫,103.3827,['冫']
缅,纟,5.0025,"['糸', '纟']"
陨,阝,2.3852,"['邑', '阜', '阝']"
摊,扌,18.9877,"['扌', '手']"
贷,贝,11.8765,"['貝', '贝']"
果,木,1410.3259,['木']
邓,阝,14.0494,"['邑', '阜', '阝']"
熏,灬,11.0667,"['火', '灬']"
斯,斤,541.3728,['斤']
兑,儿,19.279,['儿']
卯,卩,2.8198,['卩']
课,讠,133.9457,"['讠', '言']"
桎,木,0.5037,['木']
由,田,320.1531,['田']
校,木,205.9259,['木']
陵,阝,35.7531,"['邑', '阜', '阝']"
张,弓,605.4963,['弓']
襁,衤,0.2321,"['衣', '衤']"
屈,尸,45.9753,['尸']
办,力,385.7975,['力']
快,忄,2704.5284,"['心', '忄']"
罩,罒,23.4025,"['罒', '网']"
坟,土,12.8889,['土']
孤,子,128.8938,['子']
咏,口,6.3111,"['囗', '口']"
韵,音,13.4519,['音']
套,大,362.9086,['大']
运,辶,647.1951,['辶']
担,扌,185.284,"['扌', '手']"
妇,女,113.1012,['女']
石,石,206.1531,['石']
腓,月,0.8099,['月']
着,羊,2337.837,['羊']
除,阝,321.7086,"['邑', '阜', '阝']"
钩,钅,8.4938,"['钅', '金']"
援,扌,55.1605,"['扌', '手']"
肿,月,84.2963,['月']
荧,艹,5.3926,['艹']
给,纟,2437.7778,"['糸', '纟']"
忧,忄,63.1951,"['心', '忄']"
专,一,252.321,['一']
爵,爫,19.2049,['爫']
溪,氵,16.0346,"['氺', '水', '氵']"
缔,纟,1.6099,"['糸', '纟']"
怕,忄,382.0099,"['心', '忄']"
负,贝,129.8815,"['貝', '贝']"
础,石,15.4025,['石']
咕,口,12.1284,"['囗', '口']"
吃,口,1526.8444,"['囗', '口']"
鲜,鱼,222.2716,"['鱼', '魚']"
讨,讠,209.6642,"['讠', '言']"
鞍,革,2.7556,['革']
夏,攵,132.7951,"['攴', '攵']"
全,入,943.6049,['入']
断,斤,276.8049,['斤']
宁,宀,127.6593,['宀']
浜,氵,0.8889,"['氺', '水', '氵']"
搀,扌,1.7086,"['扌', '手']"
奉,大,25.6741,['大']
忽,心,77.0321,"['心', '忄']"
吵,口,121.9654,"['囗', '口']"
烽,火,26.0494,"['火', '灬']"
燕,灬,32.1975,"['火', '灬']"
位,亻,752.7704,"['人', '亻']"
庚,广,23.0716,['广']
忍,心,163.5012,"['心', '忄']"
伏,亻,49.6296,"['人', '亻']"
零,雨,96.6272,['雨']
耶,耳,88.1235,['耳']
赢,贝,256.3556,"['貝', '贝']"
约,纟,266.6716,"['糸', '纟']"
落,艹,304.3951,['艹']
呃,口,123.0272,"['囗', '口']"
日,日,1612.6568,['日']
树,木,129.3185,['木']
寰,宀,1.9654,['宀']
山,山,517.916,['山']
示,示,194.8198,"['礻', '示']"
养,八,234.5778,"['丷', '八']"
眉,目,36.9185,['目']
牌,片,187.1951,['片']
量,里,446.3852,['里']
朴,木,20.4593,['木']
冲,冫,189.0864,['冫']
独,犭,199.9062,"['犬', '犭']"
憎,忄,10.9284,"['心', '忄']"
奸,女,54.6815,['女']
扰,扌,81.6642,"['扌', '手']"
低,亻,195.7284,"['人', '亻']"
祝,礻,589.5309,"['礻', '示']"
栋,木,13.2395,['木']
具,八,198.3704,"['丷', '八']"
测,氵,285.6395,"['氺', '水', '氵']"
赚,贝,74.0444,"['貝', '贝']"
截,戈,30.5333,['戈']
太,大,1577.2494,['大']
魔,鬼,235.1704,['鬼']
根,木,245.7086,['木']
语,讠,510.3506,"['讠', '言']"
确,石,291.1753,['石']
离,禸,498.3852,['禸']
沓,水,1.4568,"['氺', '水', '氵']"
祥,礻,81.7778,"['礻', '示']"
例,亻,50.8296,"['人', '亻']"
何,亻,596.7111,"['人', '亻']"
区,匸,319.8667,['匸']
褒,衣,2.4988,"['衣', '衤']"
丹,丶,68.0198,['丶']
茁,艹,1.5802,['艹']
临,丨,149.8321,['丨']
榴,木,9.0123,['木']
刁,刀,4.7012,"['刂', '刀']"
连,辶,472.637,['辶']
凛,冫,2.0691,['冫']
冤,冖,21.9506,['冖']
纤,纟,16.2765,"['糸', '纟']"
疡,疒,5.2889,['疒']
产,亠,206.1037,['亠']
简,⺮,249.8173,"['⺮', '竹']"
冷,冫,471.7778,['冫']
畔,田,5.7432,['田']
丑,一,75.2,['一']
卞,卜,1.3778,['卜']
赦,赤,3.0716,['赤']
雅,隹,86.4593,['隹']
硕,石,10.163,['石']
妖,女,32.4,['女']
跷,足,2.4346,['足']
阵,阝,91.9605,"['邑', '阜', '阝']"
呢,口,1118.9432,"['囗', '口']"
个,丨,7489.5654,['丨']
浅,氵,37.0864,"['氺', '水', '氵']"
啥,口,163.6444,"['囗', '口']"
浴,氵,38.3309,"['氺', '水', '氵']"
缺,缶,127.2988,['缶']
谱,讠,43.2247,"['讠', '言']"
征,彳,62.6765,['彳']
刺,刂,148.0593,"['刂', '刀']"
漫,氵,205.5358,"['氺', '水', '氵']"
逆,辶,45.9901,['辶']
礼,礻,383.5556,"['礻', '示']"
翔,羽,46.9432,['羽']
识,讠,339.3975,"['讠', '言']"
学,子,1166.4395,['子']
占,卜,54.3901,['卜']
防,阝,131.1457,"['邑', '阜', '阝']"
赞,贝,100.3753,"['貝', '贝']"
蝎,虫,75.1704,['虫']
操,扌,127.7827,"['扌', '手']"
固,囗,50.0642,"['囗', '口']"
霉,雨,39.1951,['雨']
拔,扌,43.5111,"['扌', '手']"
漠,氵,28.7111,"['氺', '水', '氵']"
缩,纟,35.7383,"['糸', '纟']"
阁,门,16.2025,"['門', '门']"
镜,钅,116.5728,"['钅', '金']"
驱,马,18.1086,"['馬', '马']"
相,目,978.4642,['目']
站,立,339.9556,['立']
典,八,153.0914,"['丷', '八']"
壁,土,126.8049,['土']
侍,亻,5.3531,"['人', '亻']"
喜,口,1341.037,"['囗', '口']"
玺,玉,2.1975,"['王', '玉']"
埋,土,65.2889,['土']
括,扌,38.5185,"['扌', '手']"
城,土,634.2568,['土']
验,马,564,"['馬', '马']"
保,亻,533.3383,"['人', '亻']"
丁,一,65.2543,['一']
最,曰,2377.6494,['曰']
酵,酉,3.7679,['酉']
沾,氵,15.8617,"['氺', '水', '氵']"
丸,丶,31.4568,['丶']
笼,⺮,62.9481,"['⺮', '竹']"
燃,灬,36.637,"['火', '灬']"
憋,心,22.7358,"['心', '忄']"
罢,罒,38.6617,"['罒', '网']"
型,土,320.1037,['土']
推,扌,536.7704,"['扌', '手']"
车,车,1119.042,"['车', '車']"
许,讠,515.4519,"['讠', '言']"
获,艹,1759.7481,['艹']
脆,月,44.7358,['月']
悲,心,207.4469,"['心', '忄']"
书,乙,358.4346,"['乙', '乚', '乛']"
珞,王,4.5333,"['王', '玉']"
鱿,鱼,5.4469,"['鱼', '魚']"
恢,忄,34.6074,"['心', '忄']"
屏,尸,154.9877,['尸']
摄,扌,94.5728,"['扌', '手']"
嵌,山,3.5605,['山']
蜥,虫,1.6148,['虫']
管,⺮,509.9111,"['⺮', '竹']"
叔,又,98.0444,['又']
斟,斗,1.9852,['斗']
象,豕,272.1877,['豕']
骸,骨,3.0519,['骨']
憾,忄,53.284,"['心', '忄']"
呈,口,27.1556,"['囗', '口']"
欢,欠,1200.8889,['欠']
隔,阝,79.2247,"['邑', '阜', '阝']"
淌,氵,5.5358,"['氺', '水', '氵']"
麻,麻,366.3111,['麻']
味,口,394.3062,"['囗', '口']"
寓,宀,40.1975,['宀']
撼,扌,16.2321,"['扌', '手']"
狸,犭,17.5358,"['犬', '犭']"
泡,氵,124.7358,"['氺', '水', '氵']"
诡,讠,12.563,"['讠', '言']"
剐,刂,0.5432,"['刂', '刀']"
胆,月,57.9802,['月']
蹦,足,10.7062,['足']
妓,女,21.3086,['女']
工,工,730.3556,['工']
唱,口,285.9358,"['囗', '口']"
蚍,虫,0.0296,['虫']
狮,犭,92.0296,"['犬', '犭']"
幽,幺,67.3679,['幺']
斜,斗,14.2321,['斗']
障,阝,38.5284,"['邑', '阜', '阝']"
诊,讠,28.2716,"['讠', '言']"
功,力,425.3975,['力']
烬,火,1.4173,"['火', '灬']"
注,氵,500.4938,"['氺', '水', '氵']"
而,而,1295.5605,['而']
舌,舌,33.2988,['舌']
坠,土,14.3062,['土']
凋,冫,4.237,['冫']
犯,犭,158.4346,"['犬', '犭']"
谬,讠,6.716,"['讠', '言']"
物,牜,651.5556,"['牜', '牛']"
环,王,138.9679,"['王', '玉']"
旷,日,6.3704,['日']
酒,酉,559.1012,['酉']
晨,日,162.237,['日']
试,讠,1132.5037,"['讠', '言']"
替,曰,90.0099,['曰']
闹,门,156.7012,"['門', '门']"
蹊,足,1.2247,['足']
坛,土,32.5975,['土']
板,木,194.2815,['木']
助,力,383.7333,['力']
魂,鬼,121.2691,['鬼']
丢,丿,100.637,"['丿', '乀', '乁']"
函,凵,5.2,['凵']
跑,足,224.5235,['足']
刮,刂,33.5012,"['刂', '刀']"
鼻,鼻,73.8667,['鼻']
贺,贝,92.6963,"['貝', '贝']"
熄,火,6.6864,"['火', '灬']"
届,尸,24.8444,['尸']
拍,扌,286.2963,"['扌', '手']"
祛,礻,8.9877,"['礻', '示']"
旁,方,102.7852,['方']
双,又,353.6099,['又']
巨,工,144.1679,['工']
软,车,96.2617,"['车', '車']"
欺,欠,56.0889,['欠']
帕,巾,26.2568,['巾']
本,木,868.2963,['木']
华,十,262.1531,['十']
遐,辶,1.837,['辶']
晚,日,1634.5432,['日']
再,冂,1282.6321,['冂']
窠,穴,0.0642,['穴']
进,辶,749.116,['辶']
颤,页,15.8667,"['頁', '页']"
佃,亻,0.1481,"['人', '亻']"
炼,火,36,"['火', '灬']"
忙,忄,312.8494,"['心', '忄']"
逐,辶,41.3235,['辶']
岩,山,31.1753,['山']
枫,木,5.9556,['木']
鞭,革,135.3679,['革']
祷,礻,34.158,"['礻', '示']"
女,女,1951.4765,['女']
笨,⺮,55.7136,"['⺮', '竹']"
遏,辶,1.4123000000000001,['辶']
刀,刀,138.0691,"['刂', '刀']"
厢,厂,19.363,['厂']
奏,大,37.0815,['大']
咽,口,13.8321,"['囗', '口']"
迟,辶,87.442,['辶']
丧,一,26.0099,['一']
戎,戈,1.2148,['戈']
衫,衤,56.4593,"['衣', '衤']"
幡,巾,0.6123,['巾']
怠,心,3.7284,"['心', '忄']"
冗,冖,1.2395,['冖']
稿,禾,21.0617,['禾']
唯,口,136.0593,"['囗', '口']"
辐,车,9.6543,"['车', '車']"
糜,米,1.6346,['米']
宛,宀,4.6667,['宀']
曝,日,20.158,['日']
钮,钅,6.5679,"['钅', '金']"
陪,阝,263.5506,"['邑', '阜', '阝']"
灿,火,52.5432,"['火', '灬']"
妻,女,115.0173,['女']
辫,辛,4.1679,['辛']
虱,虫,3.7481,['虫']
秋,禾,114.4395,['禾']
潮,氵,136.9877,"['氺', '水', '氵']"
邂,辶,8.1531,['辶']
江,氵,195.4815,"['氺', '水', '氵']"
裙,衤,51.9358,"['衣', '衤']"
瞎,目,32.958,['目']
于,二,1320.8988,['二']
处,夂,470.1136,['夂']
采,釆,67.7333,['釆']
饥,饣,11.9062,"['飠', '饣', '食']"
匪,匚,37.5951,['匚']
陶,阝,17.0519,"['邑', '阜', '阝']"
孚,子,0.9086,['子']
意,心,1521.0864,"['心', '忄']"
哼,口,43.9802,"['囗', '口']"
密,宀,244.2469,['宀']
阴,阝,112.6469,"['邑', '阜', '阝']"
嗙,口,0.1333,"['囗', '口']"
各,口,513.0815,"['囗', '口']"
史,口,143.3037,"['囗', '口']"
搁,扌,7.4222,"['扌', '手']"
式,弋,461.0321,['弋']
滕,水,2.1679,"['氺', '水', '氵']"
鄙,阝,23.6,"['邑', '阜', '阝']"
势,力,111.9654,['力']
圈,囗,105.4222,"['囗', '口']"
暗,日,151.0222,['日']
锐,钅,10.8346,"['钅', '金']"
念,心,338.5432,"['心', '忄']"
稚,禾,23.437,['禾']
控,扌,176.9037,"['扌', '手']"
衍,行,6.5284,['行']
决,冫,336.3654,['冫']
才,扌,1072.0691,"['扌', '手']"
欸,欠,1.5111,['欠']
影,彡,594.9333,['彡']
联,耳,293.8765,['耳']
林,木,222.0593,['木']
搞,扌,334.8938,"['扌', '手']"
惯,忄,140.4148,"['心', '忄']"
锡,钅,13.5457,"['钅', '金']"
桥,木,62.0148,['木']
抗,扌,77.8173,"['扌', '手']"
顺,页,260.5531,"['頁', '页']"
垂,土,13.8914,['土']
兴,八,315.6148,"['丷', '八']"
敲,攴,39.5605,"['攴', '攵']"
扎,扌,58.6519,"['扌', '手']"
胎,月,46.2123,['月']
摆,扌,81.684,"['扌', '手']"
嗄,口,0.7605,"['囗', '口']"
擤,扌,0.558,"['扌', '手']"
绰,纟,2.8346,"['糸', '纟']"
买,乙,644.9136,"['乙', '乚', '乛']"
噘,口,0.2667,"['囗', '口']"
催,亻,63.6988,"['人', '亻']"
僧,亻,12.8247,"['人', '亻']"
把,扌,1407.6,"['扌', '手']"
睾,目,1.9753,['目']
李,木,194.5975,['木']
寝,宀,9.5951,['宀']
榛,木,2.3457,['木']
妄,女,13.1704,['女']
寄,宀,41.2889,['宀']
颀,页,0.0938,"['頁', '页']"
饭,饣,529.758,"['飠', '饣', '食']"
佣,亻,8.9827,"['人', '亻']"
像,亻,873.1012,"['人', '亻']"
攥,扌,1.1259,"['扌', '手']"
箩,⺮,1.037,"['⺮', '竹']"
频,页,160.3704,"['頁', '页']"
盖,皿,83.837,['皿']
剖,刂,6.8,"['刂', '刀']"
逸,辶,20.9531,['辶']
命,口,482.2568,"['囗', '口']"
继,纟,296.8296,"['糸', '纟']"
茶,艹,202.9235,['艹']
启,口,72.7605,"['囗', '口']"
账,贝,45.4667,"['貝', '贝']"
斧,斤,3.7136,['斤']
辩,辛,24.2815,['辛']
烛,火,17.358,"['火', '灬']"
羁,罒,4.1136,"['罒', '网']"
待,彳,439.4222,['彳']
袄,衤,5.1259,"['衣', '衤']"
为,丶,3587.5951,['丶']
掌,手,136.2173,"['扌', '手']"
洞,氵,52.9284,"['氺', '水', '氵']"
赋,贝,16.3556,"['貝', '贝']"
荫,艹,2.4494,['艹']
敏,攵,72.7309,"['攴', '攵']"
谜,讠,11.042,"['讠', '言']"
令,人,154.9333,"['人', '亻']"
邮,阝,66.7951,"['邑', '阜', '阝']"
鱼,鱼,304.5037,"['鱼', '魚']"
强,弓,480.9877,['弓']
止,止,186.321,['止']
扣,扌,53.2691,"['扌', '手']"
航,舟,137.9012,['舟']
棍,木,22.7506,['木']
瞳,目,9.8716,['目']
羞,羊,32.0296,['羊']
叫,口,610.9037,"['囗', '口']"
跌,足,40.3951,['足']
列,刂,138.3704,"['刂', '刀']"
肴,月,2.8543,['月']
厉,厂,58.4988,['厂']
肖,月,27.6346,['月']
事,亅,2513.6148,['亅']
桑,木,48.4198,['木']
纪,纟,125.6049,"['糸', '纟']"
戏,戈,507.037,['戈']
孽,子,22.7802,['子']
疥,疒,0.1136,['疒']
震,雨,74.2716,['雨']
镶,钅,3.8025,"['钅', '金']"
洽,氵,3.4321,"['氺', '水', '氵']"
庆,广,126.3556,['广']
统,纟,183.0074,"['糸', '纟']"
跳,足,171.7481,['足']
茫,艹,41.7531,['艹']
扯,扌,38.2469,"['扌', '手']"
靥,面,0.8543,['面']
息,心,446.6963,"['心', '忄']"
渣,氵,18.2765,"['氺', '水', '氵']"
郎,阝,78.1284,"['邑', '阜', '阝']"
坐,土,332.4494,['土']
四,囗,510.7704,"['囗', '口']"
称,禾,145.3284,['禾']
贴,贝,111.7432,"['貝', '贝']"
缓,纟,45.9012,"['糸', '纟']"
昱,日,0.5383,['日']
敌,攵,93.0716,"['攴', '攵']"
辱,辰,52.3951,['辰']
在,土,8861.0963,['土']
街,行,286.8049,['行']
类,米,193.0025,['米']
界,田,590.2272,['田']
吟,口,8,"['囗', '口']"
仔,亻,153.4074,"['人', '亻']"
劝,力,16.0198,['力']
钱,钅,666.7556,"['钅', '金']"
斥,斤,11.3037,['斤']
虹,虫,34.8691,['虫']
八,八,255.2296,"['丷', '八']"
叨,口,16.4988,"['囗', '口']"
堆,土,73.5259,['土']
想,心,4461.0864,"['心', '忄']"
抹,扌,35.1309,"['扌', '手']"
茱,艹,2.4,['艹']
舒,舌,146.6519,['舌']
谋,讠,66.2716,"['讠', '言']"
铜,钅,24.6568,"['钅', '金']"
纨,糸,0.4395,"['糸', '纟']"
苗,艹,15.1111,['艹']
奔,大,132.8296,['大']
醒,酉,466.9531,['酉']
泷,氵,0.9037,"['氺', '水', '氵']"
执,扌,100.5086,"['扌', '手']"
鼓,鼓,91.8173,['鼓']
积,禾,115.837,['禾']
馊,饣,0.9383,"['飠', '饣', '食']"
范,艹,79.5852,['艹']
庶,广,0.8247,['广']
凭,几,46.0691,['几']
脾,月,52.242,['月']
狡,犭,4.9037,"['犬', '犭']"
底,广,438.5926,['广']
竭,立,10.084,['立']
腋,月,1.4272,['月']
利,刂,668.9926,"['刂', '刀']"
慰,心,56.6963,"['心', '忄']"
愚,心,30.8938,"['心', '忄']"
符,⺮,28.7259,"['⺮', '竹']"
跨,足,33.4765,['足']
栈,木,26.9926,['木']
寿,寸,48.0247,['寸']
栗,木,8.6963,['木']
因,囗,1034.884,"['囗', '口']"
脚,月,215.7383,['月']
身,身,1181.5309,['身']
糗,米,6.4741,['米']
摘,扌,36.4642,"['扌', '手']"
恶,心,235.9358,"['心', '忄']"
器,口,246.3259,"['囗', '口']"
绕,纟,38.2815,"['糸', '纟']"
央,大,91.9556,['大']
次,欠,1271.1259,['欠']
凑,冫,22.8642,['冫']
悖,忄,1.1062,"['心', '忄']"
歼,歹,11.1556,['歹']
挂,扌,153.679,"['扌', '手']"
图,囗,834.237,"['囗', '口']"
坪,土,6.4988,['土']
北,匕,345.1309,['匕']
宾,宀,47.5605,['宀']
涂,氵,60.0938,"['氺', '水', '氵']"
映,日,38.6667,['日']
节,艹,664.2123,['艹']
锄,钅,6.484,"['钅', '金']"
勇,力,140.7605,['力']
淡,氵,160.9926,"['氺', '水', '氵']"
僻,亻,4.8889,"['人', '亻']"
种,禾,1067.4716,['禾']
卫,卩,157.3531,['卩']
候,亻,1091.6099,"['人', '亻']"
绵,纟,29.2198,"['糸', '纟']"
淮,氵,7.2099,"['氺', '水', '氵']"
邪,阝,46.2519,"['邑', '阜', '阝']"
秽,禾,2.3062,['禾']
奋,大,141.4963,['大']
脸,月,260.0444,['月']
扼,扌,3.442,"['扌', '手']"
玩,王,1636.1235,"['王', '玉']"
喂,口,99.7679,"['囗', '口']"
晦,日,3.679,['日']
雇,隹,35.116,['隹']
奢,大,35.916,['大']
嫦,女,1.521,['女']
遗,辶,110.0296,['辶']
炖,火,14.0741,"['火', '灬']"
狗,犭,255.837,"['犬', '犭']"
撮,扌,3.2049,"['扌', '手']"
责,贝,121.6691,"['貝', '贝']"
初,刀,467.763,"['刂', '刀']"
师,巾,497.3827,['巾']
躯,身,6.7654,['身']
津,氵,31.5012,"['氺', '水', '氵']"
福,礻,982.5136,"['礻', '示']"
巅,山,4.0691,['山']
村,木,115.5407,['木']
蹩,足,1.4765,['足']
迸,辶,1.1457,['辶']
攀,手,10.2864,"['扌', '手']"
烘,火,7.0667,"['火', '灬']"
细,纟,209.1309,"['糸', '纟']"
瘪,疒,2.5481,['疒']
觉,见,1670.558,"['见', '見']"
浇,氵,9.3778,"['氺', '水', '氵']"
赌,贝,57.4272,"['貝', '贝']"
胼,月,0.0395,['月']
眸,目,7.4716,['目']
银,钅,153.8914,"['钅', '金']"
去,厶,3666.1432,['厶']
骆,马,4.5827,"['馬', '马']"
卑,十,41.2691,['十']
伤,亻,557.7926,"['人', '亻']"
梳,木,11.0914,['木']
徘,彳,7.8272,['彳']
如,女,1682.7852,['女']
挥,扌,63.4025,"['扌', '手']"
蟋,虫,1.3432,['虫']
雪,雨,437.2296,['雨']
庸,广,14.963,['广']
墨,土,60.3556,['土']
灯,火,163.0173,"['火', '灬']"
捕,扌,62.3605,"['扌', '手']"
绮,纟,2.484,"['糸', '纟']"
饶,饣,12.3556,"['飠', '饣', '食']"
彰,彡,6.0198,['彡']
蔑,艹,4.5679,['艹']
籽,米,5.2889,['米']
嗒,口,10.079,"['囗', '口']"
噩,口,24.0444,"['囗', '口']"
佛,亻,122.7605,"['人', '亻']"
晖,日,2.9432,['日']
异,廾,118.5778,['廾']
拴,扌,2.9235,"['扌', '手']"
弱,弓,108.2568,['弓']
始,女,796.6667,['女']
藩,艹,1.4519,['艹']
索,糸,114.5333,"['糸', '纟']"
烧,火,170.3309,"['火', '灬']"
印,卩,110.4247,['卩']
阳,阝,318.7556,"['邑', '阜', '阝']"
肘,月,4.237,['月']
员,口,361.3432,"['囗', '口']"
阎,门,1.8815,"['門', '门']"
召,口,143.1457,"['囗', '口']"
雀,隹,37.2988,['隹']
育,月,105.758,['月']
栅,木,2.7309,['木']
景,日,183.2247,['日']
苏,艹,99.279,['艹']
宋,宀,26.5037,['宀']
卷,卩,83.8173,['卩']
潜,氵,63.6691,"['氺', '水', '氵']"
琢,王,6.316,"['王', '玉']"
汽,氵,73.2543,"['氺', '水', '氵']"
翱,羽,1.0667,['羽']
扶,扌,17.6247,"['扌', '手']"
代,亻,428.4642,"['人', '亻']"
铸,钅,2.7852,"['钅', '金']"
添,氵,41.5407,"['氺', '水', '氵']"
健,亻,257.5753,"['人', '亻']"
咂,口,0.9037,"['囗', '口']"
隋,阝,3.6889,"['邑', '阜', '阝']"
憨,心,6.6321,"['心', '忄']"
偶,亻,163.2198,"['人', '亻']"
县,厶,47.1457,['厶']
脊,月,8.2914,['月']
拇,扌,6.7704,"['扌', '手']"
磊,石,8.4049,['石']
王,王,440.9086,"['王', '玉']"
妨,女,13.8519,['女']
杏,木,13.6988,['木']
床,广,407.842,['广']
属,尸,193.9556,['尸']
备,夂,416.8691,['夂']
武,止,207.0963,['止']
冶,冫,1.6296,['冫']
丝,一,202.4988,['一']
宏,宀,31.8568,['宀']
裔,衣,4.884,"['衣', '衤']"
融,虫,47.1556,['虫']
桨,木,1.2346,['木']
烈,灬,102.8296,"['火', '灬']"
那,阝,3633.7679,"['邑', '阜', '阝']"
酥,酉,10.4198,['酉']
须,页,225.6988,"['頁', '页']"
笋,⺮,6.5185,"['⺮', '竹']"
间,门,1277.8815,"['門', '门']"
烫,火,30.0198,"['火', '灬']"
步,止,325.8469,['止']
蕴,艹,3.679,['艹']
轰,车,22.1531,"['车', '車']"
鲸,鱼,6.8988,"['鱼', '魚']"
祈,礻,48.0198,"['礻', '示']"
百,白,375.1753,['白']
顾,页,147.3531,"['頁', '页']"
证,讠,309.0519,"['讠', '言']"
送,辶,524.8543,['辶']
堡,土,38.5778,['土']
殷,殳,4.4593,['殳']
瑕,王,6.2963,"['王', '玉']"
壳,士,34.4099,['士']
毋,毋,3.0914,"['毋', '母']"
素,糸,167.3531,"['糸', '纟']"
契,大,23.9259,['大']
害,宀,347.3877,['宀']
趁,走,42.2815,['走']
救,攵,212.163,"['攴', '攵']"
观,见,253.2296,"['见', '見']"
桃,木,106.9086,['木']
植,木,56.4938,['木']
醉,酉,142.4346,['酉']
抄,扌,23.4716,"['扌', '手']"
排,扌,524.2123,"['扌', '手']"
踌,足,1.2543,['足']
嗲,口,8.3506,"['囗', '口']"
械,木,12.237,['木']
扳,扌,6.6568,"['扌', '手']"
以,人,2846.5432,"['人', '亻']"
蓄,艹,12.5086,['艹']
途,辶,87.037,['辶']
销,钅,176.8494,"['钅', '金']"
九,乙,168.0938,"['乙', '乚', '乛']"
踪,足,67.2988,['足']
协,十,56.8346,['十']
体,亻,1049.1704,"['人', '亻']"
皆,白,25.6247,['白']
毽,毛,0.3457,['毛']
社,礻,177.6741,"['礻', '示']"
记,讠,1079.4963,"['讠', '言']"
玉,玉,117.9111,"['王', '玉']"
警,言,260.0395,"['讠', '言']"
胁,月,21.679,['月']
樵,木,0.9975,['木']
擅,扌,13.9259,"['扌', '手']"
鼠,鼠,67.437,['鼠']
五,二,635.0519,['二']
只,口,2008.9679,"['囗', '口']"
邑,邑,1.1259,"['邑', '阜', '阝']"
窍,穴,10.1926,['穴']
烩,火,2.3111,"['火', '灬']"
孩,子,758.1975,['子']
构,木,43.1062,['木']
客,宀,685.6593,['宀']
踏,足,54.4889,['足']
期,月,682.2765,['月']
璐,王,3.5407,"['王', '玉']"
订,讠,84.0148,"['讠', '言']"
揶,扌,0.2123,"['扌', '手']"
靴,革,38.3852,['革']
庞,广,13.2494,['广']
抬,扌,31.9407,"['扌', '手']"
河,氵,125.0963,"['氺', '水', '氵']"
蝮,虫,0.1136,['虫']
扭,扌,32.5877,"['扌', '手']"
挠,扌,6.5185,"['扌', '手']"
屑,尸,10.3111,['尸']
炊,火,1.7432,"['火', '灬']"
熔,火,2.8938,"['火', '灬']"
佳,亻,143.8321,"['人', '亻']"
姚,女,13.0963,['女']
洗,氵,292.9926,"['氺', '水', '氵']"
假,亻,466.8049,"['人', '亻']"
痨,疒,0.8198,['疒']
瘦,疒,80.1679,['疒']
纬,纟,2.7012,"['糸', '纟']"
堕,土,11.9704,['土']
芽,艹,10.0247,['艹']
织,纟,120.2123,"['糸', '纟']"
径,彳,21.2346,['彳']
判,刂,66.1086,"['刂', '刀']"
泄,氵,29.4519,"['氺', '水', '氵']"
倍,亻,56.9481,"['人', '亻']"
凉,冫,87.8716,['冫']
猫,犭,185.0617,"['犬', '犭']"
霎,雨,1.5111,['雨']
净,冫,104.5284,['冫']
晴,日,70.8889,['日']
设,讠,183.4321,"['讠', '言']"
诉,讠,479.4716,"['讠', '言']"
码,石,221.2691,['石']
徽,彳,29.2691,['彳']
府,广,68.1778,['广']
豁,谷,19.9654,['谷']
嘲,口,17.5753,"['囗', '口']"
兼,八,22.1185,"['丷', '八']"
蜕,虫,5.4321,['虫']
盗,皿,55.6543,['皿']
容,宀,475.8667,['宀']
泼,氵,16.9877,"['氺', '水', '氵']"
咀,口,3.8864,"['囗', '口']"
酬,酉,14.7901,['酉']
趋,走,15.7284,['走']
璜,王,0.2963,"['王', '玉']"
毗,比,0.5284,['比']
怒,心,83.1309,"['心', '忄']"
搬,扌,53.1111,"['扌', '手']"
薄,艹,68.9531,['艹']
愿,心,467.037,"['心', '忄']"
呜,口,51.2543,"['囗', '口']"
抚,扌,18.9975,"['扌', '手']"
沥,氵,7.6642,"['氺', '水', '氵']"
颊,页,5.1951,"['頁', '页']"
您,心,358.5284,"['心', '忄']"
驻,马,14.2074,"['馬', '马']"
泪,氵,193.4469,"['氺', '水', '氵']"
漾,氵,5.1852,"['氺', '水', '氵']"
与,一,962.0346,['一']
追,辶,204.3753,['辶']
砂,石,19.2099,['石']
击,凵,318.6123,['凵']
春,日,956.8099,['日']
鸽,鸟,13.9012,"['鳥', '鸟']"
柏,木,22.3704,['木']
惟,忄,6.5037,"['心', '忄']"
豌,豆,3.4123,['豆']
撰,扌,2.3605,"['扌', '手']"
秘,禾,230.884,['禾']
尖,小,62.8593,['小']
搭,扌,117.921,"['扌', '手']"
率,玄,90.0988,['玄']
乔,丿,88.6074,"['丿', '乀', '乁']"
朋,月,870.4198,['月']
姣,女,1.358,['女']
罗,罒,227.8173,"['罒', '网']"
荷,艹,36.1185,['艹']
吹,口,95.7185,"['囗', '口']"
锹,钅,0.4642,"['钅', '金']"
迄,辶,2.242,['辶']
渺,氵,10,"['氺', '水', '氵']"
恙,心,2.5284,"['心', '忄']"
夫,大,290.7901,['大']
缴,纟,9.0914,"['糸', '纟']"
污,氵,28.5185,"['氺', '水', '氵']"
恐,忄,127.3037,"['心', '忄']"
奄,大,1.3037,['大']
摩,手,168.5728,"['扌', '手']"
馈,饣,16.2914,"['飠', '饣', '食']"
铺,钅,41.5358,"['钅', '金']"
